"Code"	"Frequency"
"M1"	3999.67822
"M2"	3997.74974
"M3"	3995.82125
"M4"	3993.89277
"M5"	3991.96428
"M6"	3990.0358
"M7"	3988.10731
"M8"	3986.17883
"M9"	3984.25034
"M10"	3982.32186
"M11"	3980.39337
"M12"	3978.46489
"M13"	3976.5364
"M14"	3974.60792
"M15"	3972.67943
"M16"	3970.75095
"M17"	3968.82246
"M18"	3966.89398
"M19"	3964.96549
"M20"	3963.03701
"M21"	3961.10852
"M22"	3959.18004
"M23"	3957.25155
"M24"	3955.32306
"M25"	3953.39458
"M26"	3951.46609
"M27"	3949.53761
"M28"	3947.60912
"M29"	3945.68064
"M30"	3943.75215
"M31"	3941.82367
"M32"	3939.89518
"M33"	3937.9667
"M34"	3936.03821
"M35"	3934.10973
"M36"	3932.18124
"M37"	3930.25276
"M38"	3928.32427
"M39"	3926.39579
"M40"	3924.4673
"M41"	3922.53882
"M42"	3920.61033
"M43"	3918.68185
"M44"	3916.75336
"M45"	3914.82488
"M46"	3912.89639
"M47"	3910.96791
"M48"	3909.03942
"M49"	3907.11094
"M50"	3905.18245
"M51"	3903.25397
"M52"	3901.32548
"M53"	3899.397
"M54"	3897.46851
"M55"	3895.54002
"M56"	3893.61154
"M57"	3891.68305
"M58"	3889.75457
"M59"	3887.82608
"M60"	3885.8976
"M61"	3883.96911
"M62"	3882.04063
"M63"	3880.11214
"M64"	3878.18366
"M65"	3876.25517
"M66"	3874.32669
"M67"	3872.3982
"M68"	3870.46972
"M69"	3868.54123
"M70"	3866.61275
"M71"	3864.68426
"M72"	3862.75578
"M73"	3860.82729
"M74"	3858.89881
"M75"	3856.97032
"M76"	3855.04184
"M77"	3853.11335
"M78"	3851.18487
"M79"	3849.25638
"M80"	3847.3279
"M81"	3845.39941
"M82"	3843.47093
"M83"	3841.54244
"M84"	3839.61396
"M85"	3837.68547
"M86"	3835.75698
"M87"	3833.8285
"M88"	3831.90001
"M89"	3829.97153
"M90"	3828.04304
"M91"	3826.11456
"M92"	3824.18607
"M93"	3822.25759
"M94"	3820.3291
"M95"	3818.40062
"M96"	3816.47213
"M97"	3814.54365
"M98"	3812.61516
"M99"	3810.68668
"M100"	3808.75819
"M101"	3806.82971
"M102"	3804.90122
"M103"	3802.97274
"M104"	3801.04425
"M105"	3799.11577
