"Site"	"Species"	"H"	"D"	"Stem_biomass"
"Site 1"	"Species 1"	36.0683106858762	76.633934515994	504.300069410616
"Site 1"	"Species 1"	41.6571795881185	144.710597834783	1597.36164477664
"Site 1"	"Species 1"	41.7724525474503	86.572686022846	879.573958912645
"Site 1"	"Species 1"	33.9688586212837	66.7735342425294	511.580721716288
"Site 1"	"Species 1"	21.5446348663041	39.1786171251442	117.356276155573
"Site 1"	"Species 1"	7.49335650058511	21.3364222983364	56.307857856231
"Site 1"	"Species 1"	33.7014103024714	114.386962963035	1113.37604518269
"Site 1"	"Species 1"	7.59401957627868	20.7575483573601	43.2246615963545
"Site 1"	"Species 1"	40.947718496975	85.4537143022753	796.992587027026
"Site 1"	"Species 1"	26.7715728494584	42.0661817409564	146.364566721522
"Site 1"	"Species 1"	36.1303724365087	77.2802453837357	764.201909057345
"Site 1"	"Species 1"	17.8028680706095	34.6821004198864	158.288606764368
"Site 1"	"Species 1"	21.7288202593433	33.1628062063828	179.463573050333
"Site 1"	"Species 1"	35.8284485131692	59.0003440633882	361.273828120593
"Site 1"	"Species 1"	23.3745389739928	36.9571391888894	179.477606603638
"Site 1"	"Species 1"	9.58430547939865	20.3900364262518	48.9104962645386
"Site 1"	"Species 1"	33.8767995423617	65.1292835490312	518.681281958052
"Site 1"	"Species 1"	37.5413831593021	149.998512945604	1987.69905686156
"Site 1"	"Species 1"	29.8215083877938	64.242478958331	437.617106508935
"Site 1"	"Species 1"	40.0495766132407	90.1357751630712	605.393156652593
"Site 1"	"Species 1"	13.0209888225425	25.6739629560616	80.1406764028281
"Site 1"	"Species 1"	22.2317601778813	36.7555203242227	185.222335070257
"Site 1"	"Species 1"	40.2670241520928	112.09093874786	1126.75700825167
"Site 1"	"Species 1"	9.56198459575099	18.447416361887	56.2274829550927
"Site 1"	"Species 1"	31.7120595528708	53.0166565370746	466.486494538044
"Site 1"	"Species 1"	9.5177708720274	22.5392836576793	60.2655627286373
"Site 1"	"Species 1"	33.584097556092	52.2295874683186	212.092969998473
"Site 1"	"Species 1"	45.2054492932329	146.016176305711	1810.14778930527
"Site 1"	"Species 1"	40.829445307445	75.8943900524173	580.374411612271
"Site 1"	"Species 1"	34.1358296371337	60.9183888172265	516.838046095902
"Site 1"	"Species 1"	35.2153305276648	62.4097120121587	450.676854489815
"Site 1"	"Species 1"	34.1741979028041	65.1020366011653	535.58152850864
"Site 1"	"Species 1"	37.9917987499761	140.443879407831	1620.84538541883
"Site 1"	"Species 1"	14.4197639566697	23.2298613467719	68.2820358879368
"Site 1"	"Species 1"	29.5942999620823	51.8055311345961	278.713931232909
"Site 1"	"Species 1"	43.1213516339276	139.619163534371	1868.23977824519
"Site 1"	"Species 1"	7.32934104339558	19.443087761756	51.7504646505622
"Site 1"	"Species 1"	40.4248536479044	73.3370140939951	656.038475060677
"Site 1"	"Species 1"	41.0072565087287	97.7564320340753	1198.88266064994
"Site 1"	"Species 1"	38.0652614944955	70.1213443942834	421.374227379359
"Site 1"	"Species 1"	38.3158117189309	88.9451467199251	837.500241950453
"Site 1"	"Species 1"	28.1328253335983	43.2971512887161	229.738858874834
"Site 1"	"Species 1"	3.66699242149605	16.7872506030835	29.2272517964034
"Site 1"	"Species 1"	42.463659790384	106.661552429432	1280.53842323331
"Site 1"	"Species 1"	33.4061265059847	84.1228738543577	920.180441837094
"Site 1"	"Species 1"	41.4520326837729	138.990447088145	1480.40441256753
"Site 1"	"Species 1"	15.4311731195049	27.7161923737731	56.6645224524728
"Site 1"	"Species 1"	29.0927125060123	50.7151934306603	363.503863260086
"Site 1"	"Species 1"	45.031067934482	144.916556408862	2065.8819636091
"Site 1"	"Species 1"	22.9241805218776	39.7028461075388	125.545566063742
"Site 1"	"Species 1"	38.7514767399165	123.226199210621	1412.39302533607
"Site 1"	"Species 1"	32.1079064367003	61.7836430948228	409.506296555608
"Site 1"	"Species 1"	25.824534036637	47.8648740111385	350.456582887577
"Site 1"	"Species 1"	38.5045716928949	106.234465660527	1069.78619231082
"Site 1"	"Species 1"	33.8655164530499	74.0452595357783	788.566916665624
"Site 1"	"Species 1"	30.9885257695965	58.3988254051656	402.046975704454
"Site 1"	"Species 1"	34.3114933944829	116.901157640386	1332.97698468674
"Site 1"	"Species 1"	10.5474121689242	27.311329760123	94.567987476451
"Site 1"	"Species 1"	13.995479462386	24.3258079898078	47.6740080024281
"Site 1"	"Species 1"	31.0878133120573	60.5593440751545	282.468996424346
"Site 1"	"Species 1"	39.4395106297395	115.622081741458	1336.91090404477
"Site 1"	"Species 1"	37.1154724732866	111.212257447187	1102.2361153589
"Site 1"	"Species 1"	21.6392172957559	39.4619026221335	135.294115685863
"Site 1"	"Species 1"	36.9999300422686	81.863482631743	647.461948739347
"Site 1"	"Species 1"	33.6922971943335	59.7109530761372	466.300294889161
"Site 1"	"Species 1"	40.0341159811093	95.7392647792585	945.277848982196
"Site 1"	"Species 1"	39.9270968068148	98.957897083601	920.694707870417
"Site 1"	"Species 1"	26.858291557779	41.5822717663832	241.079289122907
"Site 1"	"Species 1"	41.3951423941818	103.870049264515	932.899604619882
"Site 1"	"Species 1"	42.684388730024	47.0583684090525	356.765709986856
"Site 1"	"Species 1"	35.7197195645707	84.0296692389529	616.160535075813
"Site 1"	"Species 1"	38.6937068365072	115.001272520749	1339.71723571391
"Site 1"	"Species 1"	13.7045403266743	21.74712013104	36.2855159141907
"Site 1"	"Species 1"	41.0342419172796	128.752489298349	1567.07832183932
"Site 1"	"Species 1"	7.75715421711186	18.8371926185209	43.5357190003176
"Site 1"	"Species 1"	14.1100040648851	32.4803478468675	125.17567746084
"Site 1"	"Species 1"	34.5982538579176	64.8520309792366	502.272053822941
"Site 1"	"Species 1"	19.837454344916	38.7372552941088	148.396329945723
"Site 1"	"Species 1"	25.4292730301337	61.8864259310067	321.155932752969
"Site 1"	"Species 1"	13.984618296718	34.1966589773074	177.876197335832
"Site 1"	"Species 1"	24.5229900351292	42.0454117935151	215.810088633951
"Site 1"	"Species 1"	25.4751869075122	44.5581892586779	260.474673578955
"Site 1"	"Species 1"	37.3088746278652	117.457418736303	1417.89529156988
"Site 1"	"Species 1"	23.3731240441819	38.8229882705491	141.282342317444
"Site 1"	"Species 1"	38.2457838118553	84.2424219637178	627.553555547854
"Site 1"	"Species 1"	39.5219982981524	107.894492143532	1219.84305175662
"Site 1"	"Species 1"	43.6428951942604	105.581317014294	1030.06296713118
"Site 1"	"Species 1"	32.6534373469042	68.3990080375224	433.098512542251
"Site 1"	"Species 1"	30.7482169419622	65.6116749427747	473.049646424043
"Site 1"	"Species 1"	37.7797662487145	104.34259680449	1024.6058881578
"Site 1"	"Species 1"	22.5616377238408	38.063632476842	153.386900994231
"Site 1"	"Species 1"	41.8367306163409	115.065078218468	1222.95467604774
"Site 1"	"Species 1"	32.8912783907508	60.4469393275212	571.6391995725
"Site 1"	"Species 1"	39.9899510052792	108.262401502579	1265.80126670163
"Site 1"	"Species 1"	29.3083380265017	50.5320423922967	357.17199506211
"Site 1"	"Species 1"	18.483339636886	29.6832575567532	158.097354804632
"Site 1"	"Species 1"	41.0370141019478	112.803587517701	1302.93723070286
"Site 1"	"Species 1"	34.0009636480285	61.7084801802412	337.445976244521
"Site 1"	"Species 1"	14.1870595618932	21.3744990632404	76.7839898622765
"Site 1"	"Species 1"	17.9288807372616	25.8589411759749	77.6810006232393
"Site 1"	"Species 2"	21.6691276201693	41.7314340092707	281.317662467781
"Site 1"	"Species 2"	32.6862940217094	145.847321043257	1504.31873298122
"Site 1"	"Species 2"	30.0926584778135	106.134920271579	906.431419893611
"Site 1"	"Species 2"	26.7628438850287	61.0350498533808	291.353948810867
"Site 1"	"Species 2"	33.7467208576228	65.5027666746173	323.842600138551
"Site 1"	"Species 2"	30.4406309906951	74.4106695684604	672.945897074326
"Site 1"	"Species 2"	30.123704093278	74.2482993530575	534.807370878082
"Site 1"	"Species 2"	29.2970234571917	101.650989654008	1192.51626106368
"Site 1"	"Species 2"	27.4729032818994	129.475885375869	1271.96236694222
"Site 1"	"Species 2"	28.8981301201022	63.066208086675	594.999331513839
"Site 1"	"Species 2"	30.07059717619	143.706643721089	1588.93438131417
"Site 1"	"Species 2"	29.0973696232744	102.214988367632	916.851438383338
"Site 1"	"Species 2"	26.1346709918389	53.2223882339895	396.880787774763
"Site 1"	"Species 2"	25.4987659236184	66.7736719467212	435.881881945893
"Site 1"	"Species 2"	27.5014818080774	70.4878388356883	567.778714785057
"Site 1"	"Species 2"	11.4089231879053	20.0017685350031	50.7566867963987
"Site 1"	"Species 2"	22.0169846394616	49.4078325061128	274.318989387012
"Site 1"	"Species 2"	30.7477801590989	97.5438503001351	654.24025716598
"Site 1"	"Species 2"	22.9535653646729	60.2069019363262	360.807573748458
"Site 1"	"Species 2"	18.1830810914328	33.8040390552487	160.271621807459
"Site 1"	"Species 2"	28.1455559859646	88.5462201281916	472.711339079289
"Site 1"	"Species 2"	24.7562783421282	42.3016131611075	178.427267361081
"Site 1"	"Species 2"	8.01598125848301	17.1971556858625	38.0719131287267
"Site 1"	"Species 2"	23.1589620773324	47.0132034772541	258.931075867673
"Site 1"	"Species 2"	31.0647457528753	128.86187420343	1242.35931697469
"Site 1"	"Species 2"	30.1233417992639	139.670066654216	1672.21435266047
"Site 1"	"Species 2"	23.165722010891	46.7723375977948	310.135883336057
"Site 1"	"Species 2"	21.7512921539406	40.8185790292919	220.698406959553
"Site 1"	"Species 2"	31.5678358920947	64.3897602707148	466.545823998191
"Site 1"	"Species 2"	34.382501368823	142.553218166577	1709.42212108426
"Site 1"	"Species 2"	28.4956285618662	71.6604127222672	498.931945463583
"Site 1"	"Species 2"	13.5576641452544	25.0877384527121	73.996651395345
"Site 1"	"Species 2"	33.439140485781	137.180892114993	1674.56513172208
"Site 1"	"Species 2"	30.9698186325976	89.8573992401361	836.279636266604
"Site 1"	"Species 2"	30.3843872690721	108.380260291742	1246.98664236903
"Site 1"	"Species 2"	31.0130229353841	68.3608980174176	524.035450707386
"Site 1"	"Species 2"	30.6281667880551	87.7726143866312	853.317036434823
"Site 1"	"Species 2"	32.7422897623958	112.96437569079	1131.53718630208
"Site 1"	"Species 2"	30.7113117243907	133.764293014538	1622.78677360735
"Site 1"	"Species 2"	29.0032176830101	115.375483206008	1060.92691403862
"Site 1"	"Species 2"	30.0278558217866	101.716626839479	1044.05985566317
"Site 1"	"Species 2"	29.652582946054	97.2919317812193	970.3366689888
"Site 1"	"Species 2"	29.9992773344999	148.817912611412	1648.73637569244
"Site 1"	"Species 2"	29.2933445323566	139.755502502667	1410.15714234172
