"Date"	"Temperature"	"Humidity"
"2020/01/01"	-3.32	99.49
"2020/01/02"	1.19	95.52
"2020/01/03"	7	94.35
"2020/01/04"	2.77	92.59
"2020/01/05"	2.22	93.04
"2020/01/06"	0.8	94.14
"2020/01/07"	-0.98	96.37
"2020/01/08"	4.14	97.51
"2020/01/09"	6.69	92.63
"2020/01/10"	8.56	85.43
"2020/01/11"	7.27	91.02
"2020/01/12"	4.65	91.96
"2020/01/13"	2.71	94.47
"2020/01/14"	5.77	83.55
"2020/01/15"	9.09	70.81
"2020/01/16"	9.86	74.99
"2020/01/17"	9.26	75.76
"2020/01/18"	8.47	78.98
"2020/01/19"	6.51	82.89
"2020/01/20"	4.48	84.48
"2020/01/21"	5.16	87.96
"2020/01/22"	4.54	89.6
"2020/01/23"	1.75	93.15
"2020/01/24"	-1.46	94.8
"2020/01/25"	-2.73	97.62
"2020/01/26"	1.31	94.89
"2020/01/27"	2.05	93.13
"2020/01/28"	3.84	88.64
"2020/01/29"	7.71	85.52
"2020/01/30"	8.47	89.55
"2020/01/31"	12.2	91.25
"2020/02/01"	9.3	88.52
"2020/02/02"	10.29	89.41
"2020/02/03"	8.6	87.58
"2020/02/04"	6.88	84.76
"2020/02/05"	4.93	83.99
"2020/02/06"	-1.05	79.61
"2020/02/07"	3.66	79.01
"2020/02/08"	7.16	77.36
"2020/02/09"	10.15	78.12
"2020/02/10"	8.64	74.43
"2020/02/11"	5.17	74.24
"2020/02/12"	2.55	77.7
"2020/02/13"	3.97	82.28
"2020/02/14"	7.18	83.46
"2020/02/15"	8.92	81.26
"2020/02/16"	12.79	64.88
"2020/02/17"	10.48	89.56
"2020/02/18"	8.08	77.6
"2020/02/19"	7.71	78.57
"2020/02/20"	6.17	79.98
"2020/02/21"	5.4	79.3
"2020/02/22"	6.17	72.07
"2020/02/23"	7.56	87.81
"2020/02/24"	7.31	86.27
"2020/02/25"	4.18	85.24
"2020/02/26"	3.56	87.07
"2020/02/27"	1.73	90.73
"2020/02/28"	5.19	84.44
"2020/02/29"	7.88	75.27
"2020/03/01"	6.86	79.83
"2020/03/02"	4.99	83.05
"2020/03/03"	3.33	88.4
"2020/03/04"	5.13	90.2
"2020/03/05"	4.11	94.51
"2020/03/06"	3.81	89.24
"2020/03/07"	5.28	83.42
"2020/03/08"	6.28	77.22
"2020/03/09"	5.93	77.9
"2020/03/10"	6.07	86.36
"2020/03/11"	10.85	93.21
"2020/03/12"	13.31	86.47
"2020/03/13"	9.72	83.57
"2020/03/14"	8.89	79.87
"2020/03/15"	7.32	76.95
"2020/03/16"	7.97	71.19
"2020/03/17"	12.29	68.8
"2020/03/18"	11.86	77.38
"2020/03/19"	10.98	76.77
"2020/03/20"	11.5	68.91
"2020/03/21"	7.28	76.4
"2020/03/22"	4.81	84.23
"2020/03/23"	3.98	55.95
"2020/03/24"	3.26	50.61
"2020/03/25"	3.76	44.35
"2020/03/26"	7.84	40.17
"2020/03/27"	10.37	49.05
"2020/03/28"	8.54	50.67
"2020/03/29"	7.26	53.58
"2020/03/30"	6.71	53.5
"2020/03/31"	2.92	57.74
"2020/04/01"	3.92	47.87
"2020/04/02"	6.71	60.49
"2020/04/03"	8.01	70.83
"2020/04/04"	11.45	68.8
"2020/04/05"	12.5	63.93
"2020/04/06"	13.42	60.43
"2020/04/07"	15.53	54.27
"2020/04/08"	14.63	50.17
"2020/04/09"	15.46	50.67
"2020/04/10"	15.76	50.07
"2020/04/11"	15.46	48.59
"2020/04/12"	15.01	48.63
"2020/04/13"	10.21	51.27
"2020/04/14"	5.97	50.44
"2020/04/15"	8.92	50.85
"2020/04/16"	12.71	50.49
"2020/04/17"	16.17	55.8
"2020/04/18"	15.44	60.69
"2020/04/19"	13.71	68.64
"2020/04/20"	15.19	36.32
"2020/04/21"	14.98	38.85
"2020/04/22"	16.18	41.51
"2020/04/23"	15.92	44.52
"2020/04/24"	16.21	44.51
"2020/04/25"	15.32	49.45
"2020/04/26"	14.62	49.22
"2020/04/27"	15.58	48.61
"2020/04/28"	14.8	77.48
"2020/04/29"	12.65	73.2
"2020/04/30"	12.32	85.08
"2020/05/01"	10.05	83.44
"2020/05/02"	9.88	80.69
"2020/05/03"	11.56	73.89
"2020/05/04"	11.01	70
"2020/05/05"	13.32	63.92
"2020/05/06"	15.97	59.69
"2020/05/07"	15.37	54.65
"2020/05/08"	16.12	48.26
"2020/05/09"	16.31	79.65
"2020/05/10"	17.92	71.43
"2020/05/11"	6.77	90.18
"2020/05/12"	10.41	65.98
"2020/05/13"	10.33	64.82
"2020/05/14"	11.49	65.34
"2020/05/15"	12.83	65.86
"2020/05/16"	14.1	50.42
"2020/05/17"	15.12	51.71
"2020/05/18"	16.05	52.06
"2020/05/19"	15.63	53.13
"2020/05/20"	16.78	50.58
"2020/05/21"	20.51	63.21
"2020/05/22"	20.22	60.5
"2020/05/23"	12.14	62.45
"2020/05/24"	13.76	80.94
"2020/05/25"	14.92	76.42
"2020/05/26"	13.77	70.84
"2020/05/27"	15.86	65.44
"2020/05/28"	13.07	61.84
"2020/05/29"	15.02	59.67
"2020/05/30"	13.87	51.61
"2020/05/31"	16.53	47.71
"2020/06/01"	17.97	49.53
"2020/06/02"	18.69	58.71
"2020/06/03"	18.03	67.28
"2020/06/04"	14.89	75.88
"2020/06/05"	11.82	85.93
"2020/06/06"	13.44	79.74
"2020/06/07"	11.69	74.71
"2020/06/08"	14.4	69.57
"2020/06/09"	14.4	73.6
"2020/06/10"	15.37	75.06
"2020/06/11"	17.77	77.55
"2020/06/12"	17.65	82.09
"2020/06/13"	17.16	84.15
"2020/06/14"	18.12	86.8
"2020/06/15"	18.57	89.09
"2020/06/16"	16.29	90.44
"2020/06/17"	15.88	96.93
"2020/06/18"	16.32	89.71
"2020/06/19"	14.34	84.1
"2020/06/20"	18.57	77.06
"2020/06/21"	18.76	72.71
"2020/06/22"	19.36	66.27
"2020/06/23"	21.17	60
"2020/06/24"	20.65	54.37
"2020/06/25"	21.66	49.18
"2020/06/26"	22.29	52.93
"2020/06/27"	20.65	56.61
"2020/06/28"	18.05	62.21
"2020/06/29"	17.44	64.9
"2020/06/30"	16.55	68.32
"2020/07/01"	18.49	72.01
"2020/07/02"	19.01	67.7
"2020/07/03"	19.52	65.11
"2020/07/04"	19.71	64.23
"2020/07/05"	19.84	59.23
"2020/07/06"	15.64	57.99
"2020/07/07"	19.65	54.1
"2020/07/08"	21.14	57.32
"2020/07/09"	21.58	62.06
"2020/07/10"	18.61	66.26
"2020/07/11"	19.75	58.95
"2020/07/12"	18.8	54.15
"2020/07/13"	19.33	51.1
"2020/07/14"	19.96	44.83
"2020/07/15"	16.65	71.23
"2020/07/16"	14.25	81.63
"2020/07/17"	18.36	73.56
"2020/07/18"	20.51	59.15
"2020/07/19"	22.27	48.42
"2020/07/20"	21.08	47.23
"2020/07/21"	20.46	49.63
"2020/07/22"	20.2	48.88
"2020/07/23"	20.23	48.2
"2020/07/24"	21.36	46.84
"2020/07/25"	21.5	58.55
"2020/07/26"	23.75	63.14
"2020/07/27"	22.64	51.33
"2020/07/28"	19.52	49.33
"2020/07/29"	19.97	50.02
"2020/07/30"	23.21	39.37
"2020/07/31"	26.57	30.84
"2020/08/01"	27.41	50.81
"2020/08/02"	23.59	56.26
"2020/08/03"	19.98	60.48
"2020/08/04"	16.37	63.04
"2020/08/05"	18.25	48.01
"2020/08/06"	22.27	48.52
"2020/08/07"	24.34	47.12
"2020/08/08"	28.35	47.51
"2020/08/09"	28.88	36.96
"2020/08/10"	28.59	41.32
"2020/08/11"	26.44	45.67
"2020/08/12"	24.45	51.77
"2020/08/13"	22.52	57.35
"2020/08/14"	23.35	60.83
"2020/08/15"	22.24	64.96
"2020/08/16"	21.52	57.33
"2020/08/17"	24.34	68.41
"2020/08/18"	22.53	65.94
"2020/08/19"	19.79	60.83
"2020/08/20"	21.47	57.32
"2020/08/21"	25.69	52.7
"2020/08/22"	26.01	68.43
"2020/08/23"	24.6	64.26
"2020/08/24"	19.95	60.78
"2020/08/25"	16.97	55.74
"2020/08/26"	18.71	52.49
"2020/08/27"	19.6	56.73
"2020/08/28"	19.23	68.49
"2020/08/29"	16.12	70.17
"2020/08/30"	16.79	72.1
"2020/08/31"	13.34	87.56
"2020/09/01"	14.35	84.93
"2020/09/02"	16.27	68.42
"2020/09/03"	19.71	55.11
"2020/09/04"	23.72	42.55
"2020/09/05"	19.62	64.82
"2020/09/06"	14.19	57.71
"2020/09/07"	15.88	51.72
"2020/09/08"	14.59	48.53
"2020/09/09"	19.45	56.87
"2020/09/10"	18.03	69.72
"2020/09/11"	20.28	54.03
"2020/09/12"	21.51	54.15
"2020/09/13"	23.26	55.41
"2020/09/14"	23.76	48.3
"2020/09/15"	22.93	50.18
"2020/09/16"	21.97	49.34
"2020/09/17"	21.91	63.57
"2020/09/18"	22.79	57.44
"2020/09/19"	22.11	54.24
"2020/09/20"	21.99	48.24
"2020/09/21"	18.93	48.02
"2020/09/22"	18.41	48.07
"2020/09/23"	17.98	63.78
"2020/09/24"	16.15	79.65
"2020/09/25"	10.78	80.83
"2020/09/26"	9.76	79.14
"2020/09/27"	7.8	88.49
"2020/09/28"	8.87	89.85
"2020/09/29"	11.4	90.26
"2020/09/30"	14.33	89.42
"2020/10/01"	11.54	88.73
"2020/10/02"	12.76	92.59
"2020/10/03"	11.18	85.53
"2020/10/04"	12.01	80.85
"2020/10/05"	9.6	86.29
"2020/10/06"	10.64	86.98
"2020/10/07"	12.86	86.65
"2020/10/08"	12.89	89.13
"2020/10/09"	14.23	86.51
"2020/10/10"	13.26	75.06
"2020/10/11"	8.33	79.23
"2020/10/12"	8.09	79.41
"2020/10/13"	7.59	84.88
"2020/10/14"	9.02	87.23
"2020/10/15"	8.17	89.11
"2020/10/16"	7.62	83.06
"2020/10/17"	7.68	78.03
"2020/10/18"	6.28	71.06
